study_id,device_name,device_id,first_author,year,journal,n_patients,reference_standard,bias_bpm,loa_lower_bpm,loa_upper_bpm,sensitivity,specificity,threshold_within_pct,population,notes
ACC01,Guardian M10,DEV07,Toften,2024,Frontiers in Physiology,32,Nox T3s (respiratory inductance plethysmography),0.1,-1.09,1.19,,,,Adults resting in bed,MDR Class IIb validation; stationary values shown; mobile LoA -1.07 to +1.07
ACC02,PVM-4000 series (with impedance RR),DEV03,Kelley,2014,European Journal of Anaesthesiology (abstract),79,Clinician-overscored capnography waveform,-2.56,,,,,,Mixed (healthy volunteers + hospitalized),Conference abstract; implied 95% LoA approx -20.2 to +15.1 based on bias±1.96×SD; formal LoA not reported in abstract
ACC03,Rad-G (RRp),DEV01,Bergese,2017,Anesthesia & Analgesia,79,Clinician-overscored sidestream capnography,0.18,-3.06,3.42,,,,Mixed (26 healthy + 53 hospitalized),Validated Medtronic Nellcor CNRRS (pulse-ox derived RR); NOT impedance/capnography device itself
ACC04,EarlySense System 2.0,DEV05,Ben-Ari (via NICE MIB49),2016,NICE Medtech Innovation Briefing,Varies,Standard monitoring systems,,,,,,,Mixed,NICE MIB49 summary; accuracy defined as aRE within thresholds; no Bland-Altman data available
ACC05,Neteera 130H/131H,DEV06,FDA 510(k) K212143,2022,FDA submission,~170,Reference vital signs monitor,,,,,,~93%,Adults,FDA clearance data; discrepancy between FDA submission (~93%) and marketing material (95%)
ACC06,eq02+ LifeMonitor,DEV09,Liu,2013,PubMed 23259751,,Reference respiratory monitor,0.2,-2.2,2.6,,,,Adults,Equivital chest belt; systematic review summary; artifact-dependent
ACC07,RespiraSense,DEV08,Subbe,2018,Sensors,24,Capnography,0.38,,,,,,Emergency admissions,Small sample; limited to resting conditions; LoA interpretation unclear in source
ACC08,RespiraSense,DEV08,NICE MIB299,2022,NICE Medtech Innovation Briefing,Varies,ECG and nurse manual count,-0.41,-3.9,3.1,,,,Adults,NICE concluded evidence base is limited; single-center studies
ACC09,Rad-G (RRp),DEV01,Lujan,2020,BMC Pulmonary Medicine,,Manual counting / reference,,,,0.95,0.94,,Adults,Masimo Rad-G; sensitivity 95%; specificity 94% for abnormal RR detection
ACC10,PVM-4000 series (with impedance RR),DEV03,van Loon,2018,Canadian Journal of Anesthesia,20,Sidestream capnography,-1.9,-13.1,9.2,,,,Post-surgical adults,98.9% LoA using ±2.63×SD with repeated-measures correction; none of 3 devices met predefined ±2 bpm criterion
ACC11,,,Lee,2024,J Am Coll Emerg Physicians Open,351,Capnography,0.2,-6.2,6.6,,,,ED adults,PMC11077426; demonstrates wide LoA for both impedance and manual vs capnography in ED
